Doctor Name,Specialization,Experience (Years),Rating,Reviews,Fees (₹),Location,Availability,Hospital Name
Dr. Neha Gupta 0,Cardiologist,5,5,116,467,Kampoo,Tue-Sun (3pm-7pm),Apollo Clinic
Dr. Ankit Jain 1,Cardiologist,19,4.3,33,1036,Lashkar,Mon-Sat (10am-2pm),Global Hospital
Dr. Neha Gupta 2,Urologist,30,4.6,66,519,City Center,Mon-Fri (5pm-8pm),JAH Hospital
Dr. Pooja Singh 3,General Physician,16,3.9,130,498,City Center,Mon-Fri (5pm-8pm),Apollo Clinic
Dr. Pooja Singh 4,General Physician,15,3.8,154,821,Kampoo,Mon-Sat (10am-2pm),Navjeevan Hospital
Dr. Amit Sharma 5,Neurologist,16,3.9,178,787,Kampoo,Mon-Sat (11am-5pm),Navjeevan Hospital
Dr. Neha Gupta 6,Cardiologist,21,4.4,134,448,City Center,Mon-Sat (10am-2pm),Navjeevan Hospital
Dr. Amit Sharma 7,Gynecologist,21,4.9,257,245,Gandhi Road,Mon-Sat (11am-5pm),Navjeevan Hospital
Dr. Neha Gupta 8,General Physician,26,3.9,205,726,Kampoo,Mon-Fri (5pm-8pm),BIMR Hospital
Dr. Ritu Mishra 9,Orthopedic,26,3.6,12,767,Kampoo,Mon-Fri (5pm-8pm),Global Hospital
Dr. Neha Gupta 10,Urologist,19,4.8,239,1147,Morar,Mon-Sat (11am-5pm),City Care Clinic
Dr. Rahul Verma 11,General Physician,9,4.9,208,1197,Kampoo,Mon-Sat (10am-2pm),City Care Clinic
Dr. Pooja Singh 12,Gynecologist,13,4.9,206,265,City Center,Mon-Sat (10am-2pm),JAH Hospital
Dr. Ritu Mishra 13,Dermatologist,3,3.6,93,1197,Morar,Tue-Sun (3pm-7pm),Navjeevan Hospital
Dr. Ritu Mishra 14,Urologist,10,3.7,248,347,Morar,Mon-Sat (11am-5pm),BIMR Hospital
Dr. Pooja Singh 15,Gynecologist,13,3.7,199,1140,City Center,Mon-Fri (5pm-8pm),JAH Hospital
Dr. Amit Sharma 16,Orthopedic,4,4.7,243,709,Thatipur,Tue-Sun (3pm-7pm),JAH Hospital
Dr. Ankit Jain 17,Gynecologist,5,4.5,158,423,Thatipur,Mon-Sat (10am-2pm),Navjeevan Hospital
Dr. Ankit Jain 18,Urologist,23,4.4,72,995,Gandhi Road,Mon-Sat (11am-5pm),BIMR Hospital
Dr. Ankit Jain 19,Orthopedic,27,4.5,272,590,Kampoo,Mon-Sat (11am-5pm),City Care Clinic
Dr. Rahul Verma 20,Pediatrician,20,4.5,240,745,Kampoo,Mon-Sat (11am-5pm),JAH Hospital
Dr. Ankit Jain 21,Gynecologist,14,3.9,68,889,Lashkar,Mon-Sat (10am-2pm),BIMR Hospital
Dr. Neha Gupta 22,Urologist,30,4,160,411,Thatipur,Mon-Sat (10am-2pm),Apollo Clinic
Dr. Amit Sharma 23,Dermatologist,24,3.9,197,538,Thatipur,Mon-Sat (11am-5pm),Apollo Clinic
Dr. Sneha Dubey 24,Pediatrician,9,4,159,1180,Lashkar,Mon-Fri (5pm-8pm),City Care Clinic
Dr. Amit Sharma 25,Neurologist,21,4.2,290,303,Thatipur,Tue-Sun (3pm-7pm),Navjeevan Hospital
Dr. Amit Sharma 26,Pediatrician,11,3.8,282,932,Morar,Mon-Sat (11am-5pm),JAH Hospital
Dr. Pooja Singh 27,Gynecologist,30,4.9,66,1125,Morar,Mon-Fri (5pm-8pm),City Care Clinic
Dr. Sneha Dubey 28,Gynecologist,2,4.5,177,344,City Center,Mon-Sat (10am-2pm),Apollo Clinic
Dr. Sneha Dubey 29,Cardiologist,24,3.5,231,201,Morar,Mon-Sat (10am-2pm),JAH Hospital
Dr. Amit Sharma 30,General Physician,14,4.8,163,338,City Center,Mon-Fri (5pm-8pm),BIMR Hospital
Dr. Pooja Singh 31,Gynecologist,9,3.8,95,1017,Morar,Tue-Sun (3pm-7pm),JAH Hospital
Dr. Neha Gupta 32,Gynecologist,21,3.7,275,271,Thatipur,Mon-Sat (10am-2pm),Apollo Clinic
Dr. Karan Patel 33,Cardiologist,23,3.9,148,386,City Center,Mon-Sat (11am-5pm),City Care Clinic
Dr. Sneha Dubey 34,General Physician,14,4.3,110,356,City Center,Tue-Sun (3pm-7pm),Apollo Clinic
Dr. Pooja Singh 35,Cardiologist,25,3.9,185,621,Kampoo,Tue-Sun (3pm-7pm),BIMR Hospital
Dr. Amit Sharma 36,Cardiologist,27,3.8,164,729,Kampoo,Mon-Fri (5pm-8pm),City Care Clinic
Dr. Neha Gupta 37,Neurologist,16,4,238,959,Gandhi Road,Mon-Sat (10am-2pm),Global Hospital
Dr. Karan Patel 38,Urologist,17,4.2,61,247,Lashkar,Mon-Sat (11am-5pm),Apollo Clinic
Dr. Ankit Jain 39,Pediatrician,7,3.6,82,563,Morar,Tue-Sun (3pm-7pm),Global Hospital
Dr. Karan Patel 40,Neurologist,15,4.6,271,957,Thatipur,Mon-Sat (10am-2pm),Apollo Clinic
Dr. Sneha Dubey 41,Orthopedic,29,4.1,282,401,Gandhi Road,Mon-Fri (5pm-8pm),Navjeevan Hospital
Dr. Ritu Mishra 42,Orthopedic,12,4.5,123,326,Kampoo,Mon-Sat (10am-2pm),Apollo Clinic
Dr. Ankit Jain 43,Orthopedic,13,4.6,53,586,City Center,Mon-Fri (5pm-8pm),City Care Clinic
Dr. Rahul Verma 44,Neurologist,17,3.7,103,389,City Center,Mon-Sat (11am-5pm),Navjeevan Hospital
Dr. Sneha Dubey 45,Pediatrician,7,4.5,249,1004,Gandhi Road,Mon-Fri (5pm-8pm),Global Hospital
Dr. Rahul Verma 46,Gynecologist,26,4.4,19,610,Morar,Mon-Sat (10am-2pm),Navjeevan Hospital
Dr. Karan Patel 47,General Physician,23,3.5,205,1198,Kampoo,Mon-Fri (5pm-8pm),Global Hospital
Dr. Ankit Jain 48,Dermatologist,10,4.1,43,962,Lashkar,Mon-Sat (10am-2pm),Apollo Clinic
Dr. Rahul Verma 49,Gynecologist,24,5,243,297,City Center,Mon-Sat (10am-2pm),Apollo Clinic
Dr. Karan Patel 50,Orthopedic,12,4.9,202,841,Morar,Mon-Fri (5pm-8pm),JAH Hospital
Dr. Rahul Verma 51,Neurologist,26,3.6,16,343,Gandhi Road,Mon-Sat (10am-2pm),Navjeevan Hospital
Dr. Karan Patel 52,Dermatologist,20,3.7,216,968,Morar,Mon-Sat (10am-2pm),Global Hospital
